0.853293	-0.088659	-0.077857	-2.001720	-0.068776	0.038193	0.462194	-0.129160	-0.096079	-0.491008	0.041923	0.047185	6.322061	0.705589	1.988159	1.559933	0.111469	-0.194827	-4.605540	0.655937	0.767818	1.505233	-0.049433	-0.017064
0.908845	-0.078920	-0.056173	-1.971176	-0.067340	0.036096	0.410449	-0.120218	-0.090435	-0.469284	0.041799	0.046963	5.555188	0.973900	2.168402	3.054392	0.143617	-0.209682	-5.174494	0.894260	0.564425	2.172432	-0.012427	-0.022198
0.955826	-0.067175	-0.033697	-1.926090	-0.065599	0.033888	0.354910	-0.109748	-0.086800	-0.442840	0.042104	0.046738	4.698165	1.174456	2.247615	4.508606	0.174096	-0.220836	-5.553910	1.046924	0.363512	2.644417	0.030471	-0.022544
0.993558	-0.054145	-0.011475	-1.867107	-0.063578	0.031608	0.297552	-0.098680	-0.084823	-0.413918	0.042875	0.046555	3.773212	1.303086	2.222181	5.898336	0.202124	-0.227971	-5.735819	1.106829	0.197679	2.892215	0.077146	-0.018247
1.021572	-0.040525	0.009467	-1.795094	-0.061308	0.029299	0.240280	-0.087910	-0.083907	-0.384905	0.044127	0.046460	2.801395	1.361965	2.094177	7.201290	0.226989	-0.230912	-5.727177	1.077030	0.091562	2.901268	0.125168	-0.009589
1.039606	-0.026949	0.028181	-1.711128	-0.058827	0.027003	0.184810	-0.078221	-0.083331	-0.358193	0.045846	0.046490	1.803339	1.357587	1.871433	8.396587	0.248096	-0.229643	-5.547025	0.968872	0.057646	2.671238	0.171945	0.003070
1.047609	-0.013958	0.043860	-1.616488	-0.056177	0.024760	0.132598	-0.070226	-0.082370	-0.336064	0.047996	0.046682	0.800331	1.299149	1.567869	9.464039	0.265021	-0.224298	-5.221175	0.799531	0.096134	2.212882	0.214961	0.019157
1.045755	-0.001977	0.055890	-1.512651	-0.053402	0.022609	0.084823	-0.064325	-0.080408	-0.320621	0.050515	0.047058	-0.185377	1.198010	1.202960	10.383665	0.277507	-0.215107	-4.777499	0.590106	0.196201	1.544293	0.251910	0.037602
1.034443	0.008696	0.063892	-1.401297	-0.050548	0.020585	0.042380	-0.060687	-0.077046	-0.313729	0.053322	0.047625	-1.131236	1.067314	0.800277	11.135386	0.285386	-0.202324	-4.244246	0.363751	0.336128	0.689198	0.280721	0.056736
1.014290	0.017904	0.067750	-1.284309	-0.047662	0.018724	0.005876	-0.059254	-0.072176	-0.316956	0.056320	0.048371	-2.015306	0.920789	0.385765	11.698791	0.288526	-0.186190	-3.650421	0.143291	0.486987	-0.322692	0.299794	0.074565
0.986125	0.025612	0.067609	-1.163777	-0.044794	0.017054	-0.024378	-0.059765	-0.065951	-0.331507	0.059406	0.049264	-2.816467	0.770864	-0.014110	12.053249	0.286859	-0.166951	-3.025465	-0.051092	0.622521	-1.455120	0.308537	0.089295
0.950989	0.031881	0.063868	-1.041990	-0.041990	0.015605	-0.048351	-0.061801	-0.058675	-0.358161	0.062483	0.050263	-3.513640	0.626853	-0.374081	12.178700	0.280428	-0.144914	-2.397240	-0.203584	0.727585	-2.665422	0.307785	0.099893
0.910141	0.036820	0.057154	-0.921418	-0.039296	0.014400	-0.066239	-0.064841	-0.050680	-0.397221	0.065481	0.051327	-4.084833	0.493955	-0.671418	12.057150	0.269379	-0.120510	-1.788836	-0.303998	0.799499	-3.906008	0.299764	0.106433
0.865070	0.040560	0.048280	-0.804670	-0.036757	0.013456	-0.078388	-0.068322	-0.042228	-0.448500	0.068357	0.052427	-4.507010	0.373921	-0.887352	11.674876	0.253910	-0.094342	-1.214864	-0.348051	0.845188	-5.127866	0.287618	0.110043
0.817494	0.043238	0.038188	-0.694415	-0.034414	0.012784	-0.085173	-0.071680	-0.033464	-0.511354	0.071104	0.053553	-4.757661	0.267872	-1.009262	11.025432	0.234247	-0.067224	-0.678463	-0.335853	0.876459	-6.285368	0.274665	0.112514
0.769306	0.045041	0.027854	-0.593282	-0.032307	0.012382	-0.086879	-0.074369	-0.024421	-0.584759	0.073741	0.054710	-4.818778	0.180305	-1.033370	10.113362	0.210708	-0.040207	-0.170660	-0.268878	0.904259	-7.340515	0.263665	0.115757
0.722482	0.046259	0.018187	-0.503704	-0.030469	0.012237	-0.083608	-0.075842	-0.015074	-0.667410	0.076304	0.055923	-4.682384	0.121751	-0.966736	8.957812	0.183816	-0.014538	0.327061	-0.147291	0.934676	-8.265167	0.256297	0.121278
0.678932	0.047332	0.009919	-0.427755	-0.028925	0.012322	-0.075233	-0.075542	-0.005397	-0.757820	0.078833	0.057220	-4.355044	0.107332	-0.826787	7.594817	0.154415	0.008553	0.837544	0.030013	0.967763	-9.040924	0.252916	0.129732
0.640341	0.048840	0.003544	-0.366983	-0.027688	0.012605	-0.061411	-0.072921	0.004583	-0.854393	0.081358	0.058627	-3.859046	0.150746	-0.637482	6.077245	0.123725	0.028269	1.382171	0.262037	0.998002	-9.657380	0.252539	0.140672
0.608044	0.051407	-0.000688	-0.322266	-0.026755	0.013051	-0.041645	-0.067511	0.014746	-0.955490	0.083890	0.060153	-3.229698	0.256718	-0.423219	4.471710	0.093257	0.044630	1.976645	0.541064	1.016272	-10.109691	0.253153	0.152625
0.582940	0.055573	-0.002726	-0.293740	-0.026109	0.013636	-0.015355	-0.059012	0.024878	-1.059451	0.086413	0.061789	-2.510417	0.416590	-0.203791	2.852628	0.064579	0.058464	2.628998	0.849870	1.013202	-10.396088	0.252324	0.163528
0.565458	0.061671	-0.002665	-0.280791	-0.025719	0.014344	0.018035	-0.047387	0.034699	-1.164610	0.088891	0.063501	-1.748223	0.609809	0.006100	1.294900	0.039054	0.070869	3.338983	1.162492	0.982074	-10.515834	0.247780	0.171255
0.555546	0.069766	-0.000729	-0.282115	-0.025542	0.015169	0.059014	-0.032910	0.043894	-1.269289	0.091268	0.065241	-0.991229	0.809508	0.193565	-0.132450	0.017665	0.082483	4.097904	1.447732	0.919568	-10.467985	0.237740	0.173999
